Trial-ID,Status,Iteration,conv_blocks,dense_layers,dense_units,dropout,filter_units,learning_rate,Objective,accuracy,auc,loss
1,INTERMEDIATE,0,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.5320714116096497,0.5173333287239075,0.5320714116096497,0.6906998157501221
1,INTERMEDIATE,1,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.4867285490036011,0.4986666738986969,0.4867285490036011,0.6934723258018494
1,INTERMEDIATE,2,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.5208714604377747,0.5253333449363708,0.5208714604377747,0.6899024844169617
1,INTERMEDIATE,3,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.5064570903778076,0.5600000023841858,0.5064570903778076,0.6901025176048279
1,INTERMEDIATE,4,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.49862852692604065,0.5573333501815796,0.49862852692604065,0.6903167963027954
1,INTERMEDIATE,5,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.4896143078804016,0.5440000295639038,0.4896143078804016,0.6905200481414795
1,INTERMEDIATE,6,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.4845000207424164,0.5413333177566528,0.4845000207424164,0.6905156970024109
1,INTERMEDIATE,7,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.503600001335144,0.5386666655540466,0.503600001335144,0.6903198957443237
1,INTERMEDIATE,8,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.5012285709381104,0.5360000133514404,0.5012285709381104,0.690349280834198
1,INTERMEDIATE,9,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.5015571117401123,0.5413333177566528,0.5015571117401123,0.6903547644615173
1,COMPLETED,9,1,4,79,0.4990673176645951,114,0.0003521614601933896,0.5320714116096497,0.5173333287239075,0.5320714116096497,0.6906998157501221
2,INTERMEDIATE,0,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5266286134719849,0.47200000286102295,0.5266286134719849,0.6955657005310059
2,INTERMEDIATE,1,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5273428559303284,0.5360000133514404,0.5273428559303284,0.6918134689331055
2,INTERMEDIATE,2,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5337714552879333,0.5199999809265137,0.5337714552879333,0.6904388666152954
2,INTERMEDIATE,3,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5310143232345581,0.5386666655540466,0.5310143232345581,0.6893773078918457
2,INTERMEDIATE,4,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5272713899612427,0.54666668176651,0.5272713899612427,0.6885402202606201
2,INTERMEDIATE,5,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5255857110023499,0.54666668176651,0.5255857110023499,0.6878017783164978
2,INTERMEDIATE,6,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5244143009185791,0.5386666655540466,0.5244143009185791,0.6875157952308655
2,INTERMEDIATE,7,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5176999568939209,0.5306666493415833,0.5176999568939209,0.6878235936164856
2,INTERMEDIATE,8,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5146999359130859,0.5333333611488342,0.5146999359130859,0.688646137714386
2,INTERMEDIATE,9,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5103428959846497,0.5333333611488342,0.5103428959846497,0.690097987651825
2,COMPLETED,9,1,4,112,0.260270047603552,27,0.00010228270837917899,0.5337714552879333,0.5199999809265137,0.5337714552879333,0.6904388666152954
